TaskID,TaskAO,StationID,Team,Start,End,Duration
1,A,1,[41],0.0,0.0,0.0
2,A-1,0,[],0.0,0.0,0.0
3,AAQS00-0010,1,"[13, 93]",0.0,1.8066283769097582,1.8066283769097582
21,AJCP00-0150,2,"[47, 77]",0.0,1.1151475634949626,1.1151475634949626
19,AJCP00-0120,3,"[91, 75]",0.0,0.5290998220673235,0.5290998220673235
9,AJZY00-0020,1,"[40, 38]",0.0,1.1145756648928664,1.1145756648928664
28,AEQJ00-0080,3,"[21, 65]",0.0,55.41171452994578,55.41171452994578
18,AJCP00-0110,1,"[66, 51]",0.0,2.0805583113344257,2.0805583113344257
4,FAQJ00-3450,1,"[51, 12]",2.0805583113344257,4.975760655222437,2.8952023438880117
11,AJYY00-0050,1,"[27, 1]",1.1145756648928664,2.625109444571921,1.5105337796790548
27,AEQJ00-0010,5,"[4, 5]",0.0,7.990760421397138,7.990760421397138
29,AGQJ00-0010,5,"[15, 0]",0.0,4.287784670516092,4.287784670516092
5,FDQJ00-2000,1,"[66, 93]",2.0805583113344257,4.654724701033847,2.574166389699421
16,AJCP00-0100,2,"[77, 33]",1.1151475634949626,1.7626420332186892,0.6474944697237266
30,FJQJ00-0370,2,"[50, 22]",0.0,1.2315351242807884,1.2315351242807884
13,AJZY00-0060,4,"[87, 53]",0.0,1.2760993356513561,1.2760993356513561
26,AJQJ00-0200,2,"[59, 22]",1.2315351242807884,2.5006006330937494,1.269065508812961
7,AJYY00-0010,2,"[59, 22]",2.5006006330937494,3.672873097885187,1.1722724647914378
6,ABQJ00-0010,1,"[13, 93]",4.654724701033847,8.693070320767378,4.038345619733531
25,AJWB00-0190,3,"[81, 75]",0.5290998220673235,1.5322103764402855,1.003110554372962
31,ABHS00-2180,5,"[78, 42]",0.0,1.956393049342625,1.956393049342625
15,AJCP00-0090,3,"[35, 71]",0.5290998220673235,2.7522626124365925,2.223162790369269
10,AJZY00-0040,1,"[51, 38]",4.975760655222437,6.34661472974488,1.370854074522443
22,AJCP00-0160,3,"[35, 70]",2.7522626124365925,5.382762314054764,2.6304997016181715
14,AJZY00-0080,4,"[18, 32]",1.2760993356513561,2.638623485764363,1.3625241501130068
24,AJWB00-0180,4,"[32, 19]",2.638623485764363,3.644139872438455,1.005516386674092
17,AJCP00-0130,2,"[77, 59]",3.672873097885187,5.144517613393667,1.4716445155084799
20,AJCP00-0140,4,"[53, 87]",2.0805583113344257,3.4264443832563156,1.34588607192189
12,AJYY00-0070,5,"[42, 5]",7.990760421397138,9.408820103543928,1.4180596821467892
8,AJYY00-0030,3,"[81, 70]",5.382762314054764,6.7010601860225485,1.3182978719677845
23,AJCP00-0170,5,"[4, 42]",9.408820103543928,10.145287026018842,0.7364669224749143
32,A-2,0,[],55.41171452994578,55.41171452994578,0.0
43,AKCP00-0040,5,[78],55.41171452994578,56.653104108247945,1.2413895783021616
87,AQQS00-0160,5,[42],55.41171452994578,56.4744912507224,1.0627767207766183
158,ARWB00-0080,5,"[4, 29]",55.41171452994578,57.858809468716615,2.4470949387708316
90,AQWC00-0190,4,[18],55.41171452994578,56.33953283410229,0.92781830415651
56,AYWB00-0040,1,[66],55.41171452994578,60.1091978766866,4.6974833467408175
141,ENWCB1-0350,3,"[35, 81, 91, 21, 65]",55.41171452994578,57.52261625622792,2.110901726282137
128,ENHSB1-0330,1,[27],55.41171452994578,57.61016472701362,2.198450197067835
155,ARWB00-0050,5,"[42, 4]",57.858809468716615,60.66439787753065,2.8055884088140317
110,AEZY00-0430,3,[71],55.41171452994578,56.994757959045536,1.583043429099753
81,AQHS00-0100,2,[47],55.41171452994578,56.87037318808795,1.4586586581421699
140,ENHDB1-0220,2,[47],56.87037318808795,58.51136411057381,1.6409909224858552
154,ARWB00-0040,5,"[15, 29]",57.858809468716615,60.322236468648725,2.4634269999321106
101,AJWC00-0560,5,[78],56.653104108247945,57.10532459673156,0.4522204884836185
157,ARWB00-0070,5,"[4, 29]",60.66439787753065,63.11149281630148,2.4470949387708316
50,AWWB00-0030,4,[18],56.33953283410229,57.081787488487954,0.7422546543856612
46,AKCP00-0070,4,[53],55.41171452994578,57.03927332601605,1.627558796070268
161,ARWB00-0110,5,"[4, 5]",63.11149281630148,64.26678349899443,1.15529068269295
96,AJYY00-0270,5,[0],56.4744912507224,56.93633909223405,0.4618478415116485
124,ENHSB1-0380,2,[50],55.41171452994578,57.94632405449685,2.5346095245510654
160,ARWB00-0100,1,"[40, 13]",55.41171452994578,56.49429440181791,1.0825798718721273
130,ENWCB1-0370,4,[18],57.081787488487954,59.1229878018741,2.041200313386149
51,AWWC00-0040,3,[70],55.41171452994578,56.20096822125489,0.7892536913091064
109,AEQS00-0070,3,[75],56.20096822125489,56.755299845907885,0.5543316246529955
70,ACCP00-0070,4,[87],56.33953283410229,56.782547475670576,0.44301464156828274
123,ENWCB1-0390,2,"[47, 33]",58.51136411057381,60.73413041879139,2.2227663082175795
68,ACCP00-0050,3,[71],56.994757959045536,57.522439102078785,0.5276811430332486
57,AYWB00-0050,3,[75],56.755299845907885,60.63562088807148,3.880321042163594
121,EGZY00-0140,1,[51],56.49429440181791,58.00643566586893,1.5121412640510172
116,AGHXB3-0090,5,[15],60.322236468648725,62.367169669085115,2.0449332004363896
164,ARWB00-0140,2,"[33, 50]",60.73413041879139,62.09618287978727,1.3620524609958835
67,ACCP00-0040,5,[0],56.93633909223405,57.61221401500336,0.6758749227693102
115,AGHXB2-0080,1,[93],56.49429440181791,58.92332471286958,2.429030311051669
35,AFZG00-0120,2,"[77, 50, 33]",62.09618287978727,62.706942875273796,0.610759995486525
92,AJYY00-0230,1,[12],56.49429440181791,56.94072932469376,0.4464349228758522
137,ENHDB1-0250,4,[32],56.33953283410229,58.125043989440705,1.785511155338412
106,AEHS00-0040,4,[19],56.33953283410229,61.556118407178914,5.216585573076621
152,ARWB00-0020,5,"[15, 78]",62.367169669085115,64.76656306215307,2.399393393067953
113,DXHS00-0030,2,[47],60.73413041879139,61.645792066545425,0.9116616477540376
